Name,Price(INR),Total-area,Sector,Furnishing,Parking,Bathroom,Society
"3 BHK Flat for Sale in Mahindra Luminare, Sector 59, Gurgaon",5.65 Cr,3000 sqft,Sector 59,Semi-Furnished,2,4,Mahindra Luminare
"3 BHK Flat for Sale in Experion Windchants, Sector 112, Gurgaon",4.25 Cr,3400 sqft,Sector 112,Semi-Furnished,1,3,Experion Windchants
"3 BHK Flat for Sale in MRG Crown, Sector 106, Gurgaon",1.90 Cr,1593 sqft,Sector 106,Semi-Furnished,1,3,MRG Crown
"2 BHK Flat for Sale in Sector 113, Gurgaon",1.32 Cr,945 sqft,Gurgaon,Semi-Furnished,1,2,N/A
"4 BHK Flat for Sale in Phase 1 DLF, Gurgaon",3.80 Cr,2100 sqft,Gurgaon,Semi-Furnished,2,3,N/A
"4 BHK Flat for Sale in Sector 89, Gurgaon",2.15 Cr,2210 sqft,Gurgaon,Semi-Furnished,2,4,N/A
"4 BHK Flat for Sale in SS Linden Floors, Sihi Village Sector 84, Gurgaon",2.30 Cr,2722 sqft,Sihi Village Sector 84,Semi-Furnished,1,4,SS Linden Floors
"3 BHK Flat for Sale in Elevate, Sector 59, Gurgaon",4.29 Cr,1159 sqft,Sector 59,Semi-Furnished,1,3,Elevate
"5 BHK Flat for Sale in Sector 106, Gurgaon",5.75 Cr,3500 sqft,Gurgaon,Semi-Furnished,2,6,N/A
"3 BHK Flat for Sale in M3M Golf Hills Phase 1, Sector 79, Gurgaon",1.94 Cr,1890 sqft,Sector 79,Semi-Furnished,1,3,M3M Golf Hills Phase 1
"3 BHK Flat for Sale in Tulip Yellow, Sector 69, Gurgaon",1.85 Cr,1135 sqft,Sector 69,Unfurnished,1,3,Tulip Yellow
"3 BHK Flat for Sale in Elevate, Sector 59, Gurgaon",4.30 Cr,2595 sqft,Sector 59,Semi-Furnished,2,3,Elevate
"3 BHK Flat for Sale in SS The Leaf, Sector 85, Gurgaon",1.52 Cr,950 sqft,Sector 85,Semi-Furnished,1,3,SS The Leaf
"3 BHK Flat for Sale in Experion Windchants, Sector 112, Gurgaon",4.90 Cr,3000 sqft,Sector 112,Semi-Furnished,1,4,Experion Windchants
